StateID,StateName,DistrictID,IHHLTotal,IHHLTotalAch,IHHLCoveragePer,Date
4,Bihar,73,30715,28798,93.76,2024-10-08
24,"Uttar Pradesh",489,43663,43627,99.92,2024-10-08
24,"Uttar Pradesh",512,5892,5892,100,2024-10-08
24,"Uttar Pradesh",518,13599,13599,100,2024-10-08
24,"Uttar Pradesh",529,2761,2761,100,2024-10-08
24,"Uttar Pradesh",513,21700,21534,99.24,2024-10-08
24,"Uttar Pradesh",486,17428,17428,100,2024-10-08
24,"Uttar Pradesh",498,19599,19599,100,2024-10-08
24,"Uttar Pradesh",504,18146,18136,99.94,2024-10-08
24,"Uttar Pradesh",508,49980,49975,99.99,2024-10-08
24,"Uttar Pradesh",554,7921,7921,100,2024-10-08
24,"Uttar Pradesh",530,73689,71438,96.95,2024-10-08
24,"Uttar Pradesh",532,4233,4233,100,2024-10-08
24,"Uttar Pradesh",536,15789,15789,100,2024-10-08
33,Uttarakhand,599,4236,4232,99.91,2024-10-08
4,Bihar,60,15336,13412,87.45,2024-10-08
4,Bihar,75,9740,8217,84.36,2024-10-08
4,Bihar,87,35893,34625,96.47,2024-10-08
4,Bihar,93,24800,24705,99.62,2024-10-08
24,"Uttar Pradesh",520,22709,22709,100,2024-10-08
24,"Uttar Pradesh",482,46460,46459,100.00,2024-10-08
24,"Uttar Pradesh",552,6338,6338,100,2024-10-08
24,"Uttar Pradesh",547,18327,18327,100,2024-10-08
33,Uttarakhand,606,1530,1530,100,2024-10-08
25,"West Bengal",561,59315,56427,95.13,2024-10-08
25,"West Bengal",564,207942,130455,62.74,2024-10-08
4,Bihar,62,41871,41092,98.14,2024-10-08
4,Bihar,72,52621,52278,99.35,2024-10-08
4,Bihar,82,62406,61047,97.82,2024-10-08
24,"Uttar Pradesh",495,10525,10336,98.20,2024-10-08
24,"Uttar Pradesh",496,21320,21320,100,2024-10-08
24,"Uttar Pradesh",517,9290,9258,99.66,2024-10-08
24,"Uttar Pradesh",550,15504,15504,100,2024-10-08
24,"Uttar Pradesh",548,23751,23751,100,2024-10-08
33,Uttarakhand,604,1500,1494,99.60,2024-10-08
33,Uttarakhand,607,4247,4157,97.88,2024-10-08
33,Uttarakhand,609,4016,4016,100,2024-10-08
25,"West Bengal",567,217643,205911,94.61,2024-10-08
4,Bihar,63,20897,20897,100,2024-10-08
4,Bihar,64,19818,19818,100,2024-10-08
4,Bihar,78,37668,31976,84.89,2024-10-08
4,Bihar,86,10133,9946,98.15,2024-10-08
35,Jharkhand,653,52924,46528,87.91,2024-10-08
24,"Uttar Pradesh",538,25421,25418,99.99,2024-10-08
24,"Uttar Pradesh",503,27534,27534,100,2024-10-08
24,"Uttar Pradesh",535,10067,10067,100,2024-10-08
24,"Uttar Pradesh",542,3368,3368,100,2024-10-08
33,Uttarakhand,601,425,425,100,2024-10-08
33,Uttarakhand,602,8626,8621,99.94,2024-10-08
25,"West Bengal",562,76746,72646,94.66,2024-10-08
25,"West Bengal",566,335260,326817,97.48,2024-10-08
25,"West Bengal",557,105085,102000,97.06,2024-10-08
25,"West Bengal",569,235742,235258,99.79,2024-10-08
